Company,Service Summary,Product/Service,Category,Founded,Headquarters,Target Customer,Business Model,Pricing,Total Funding,Latest Valuation,Key Investors,User Base,Revenue (ARR),Key Features,Competitors,Website
PromptBase,AI 프롬프트를 사고파는 최초의 마켓플레이스. 크리에이터가 ChatGPT/Midjourney/DALL-E용 프롬프트를 판매,AI Prompt Marketplace,Marketplace,2021,London UK,B2C (Creators/Developers),Marketplace Commission (20%),Free (prompts $1.99-$9.99),Not disclosed,Not disclosed,Not disclosed,370K+ users,Not disclosed,Buy/Sell prompts for ChatGPT Midjourney DALL-E Stable Diffusion,PromptHero FlowGPT AIPRM,promptbase.com
PromptHero,AI 아트 프롬프트 검색 및 커뮤니티 플랫폼. 수백만 개의 프롬프트를 무료로 검색하고 공유,AI Prompt Community & Marketplace,Marketplace/Community,2022,San Francisco US,B2C (Creators/Artists),Freemium + Subscription,$0-$29/month,Not funded,Not disclosed,Not disclosed,700K+ users,Not disclosed,Prompt search Image generation Community features,PromptBase FlowGPT,prompthero.com
FlowGPT,누구나 AI 앱을 만들고 공유할 수 있는 오픈 플랫폼. 10만개 이상의 AI 앱이 등록된 커뮤니티,Open AI App Platform,Platform/Community,2023,Berkeley US,B2C (Developers/Creators),Freemium,Free,10M,Not disclosed,Goodwater Capital DCM Ventures,10M+ users,Not disclosed,AI app creation 100K+ apps Multi-model support,PromptBase PromptHero,flowgpt.com
AIPRM,ChatGPT를 위한 브라우저 확장 프로그램. 원클릭으로 SEO/마케팅용 프롬프트 템플릿 사용,ChatGPT Prompt Extension,Browser Extension,2022,Germany,B2B/B2C (Marketers/SEOs),Freemium + Subscription,$0-$69/month,Not disclosed,Not disclosed,Not disclosed,2M+ users,Not disclosed,ChatGPT extension Curated prompts SEO/Marketing focus,PromptBase PromptHero,aiprm.com
LangChain,LLM 애플리케이션 개발을 위한 오픈소스 프레임워크. 프롬프트 체이닝 에이전트 개발 지원,LLM Development Framework,Development Framework,2022,San Francisco US,B2B (Enterprise/Developers),Open Source + Enterprise,$0-Enterprise pricing,260M,1.25B,Sequoia Benchmark IVP CapitalG,35% of Fortune 500,12-16M ARR,LLM chaining Agent development Prompt management LangSmith,LlamaIndex Haystack,langchain.com
Vellum.ai,기업용 AI 개발 플랫폼. 프롬프트 엔지니어링 버전관리 LLM 최적화를 위한 올인원 솔루션,AI Development Platform,Development Platform,2023,New York US,B2B (Enterprise),SaaS Subscription,Usage-based,25.5M,Not disclosed,Y Combinator Rebel Fund Leaders Fund,Enterprise (Drata Redfin Headspace),Not disclosed,Prompt engineering Version control LLM optimization,LangChain PromptLayer,vellum.ai
PromptLayer,비개발자를 위한 프롬프트 관리 플랫폼. 의료/법률 등 도메인 전문가가 AI 앱을 직접 관리,Prompt Management Platform,Management Platform,2021,New York US,B2B (Domain Experts),SaaS Subscription,Not disclosed,4.8M,Not disclosed,ScOp Venture Capital Stellation Capital,10K+ users,13x YoY growth,Prompt management Observability Evaluation Non-technical focus,Vellum.ai LangChain,promptlayer.com
Promptfoo,AI 보안 테스트 및 레드팀 오픈소스 도구. LLM 취약점 발견 및 품질 평가 자동화,AI Security & Testing,Security/Testing,2024,US,B2B (Enterprise/Developers),Open Source + Enterprise,Free + Enterprise,23.7M,Not disclosed,Insight Partners a16z,125K+ developers,Not disclosed,AI red-teaming Security testing LLM evaluation,LangChain Vellum.ai,promptfoo.dev
PromptSea,크리에이터가 직접 가격을 정하고 판매하는 프롬프트 마켓. 중개 수수료 없이 직거래 방식,Prompt Classified Marketplace,Marketplace,2023,Not disclosed,B2C (Creators),Marketplace (Direct Sales),Seller-set prices,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Direct sales model Price negotiation Creator control,PromptBase Promptrr,promptsea.io
Promptrr,크리에이터에게 80% 수익을 제공하는 프롬프트 마켓플레이스. 높은 수익 배분이 특징,Prompt Marketplace,Marketplace,2023,Not disclosed,B2C (Creators),Marketplace Commission (20%),$1.99+ per prompt,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,80% creator revenue share Multi-model support,PromptBase PromptHero,promptrr.io
ChatX,무료로 기본 프롬프트를 제공하는 입문자용 마켓플레이스. AI 초보자를 위한 쉬운 시작점,Free Prompt Marketplace,Marketplace,Not disclosed,Not disclosed,B2C (Beginners),Free,Free,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Free prompts Multi-model support Beginner-friendly,PromptBase PromptHero,chatx.ai
TextCortex,AI 글쓰기 도구 + 프롬프트 마켓플레이스. ZenoChat과 연동되는 프롬프트 템플릿 제공,AI Writing + Prompt Marketplace,Writing Tool/Marketplace,2021,Not disclosed,B2B/B2C (Writers/Marketers),Freemium + Subscription,$0-$83.99/month,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,ZenoChat integration Prompt templates Writing assistance,Jasper Copy.ai,textcortex.com
Chatsonic,Writesonic의 AI 챗봇 + 무료 프롬프트 라이브러리. 확장 프로그램 없이 바로 사용 가능,AI Chat + Prompt Library,AI Chat/Library,2023,Not disclosed,B2B/B2C (Content Creators),Freemium + Subscription,Part of Writesonic,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Free prompt library No extension needed GPT-4 integration,ChatGPT Claude,writesonic.com/chat
