Company,Service Summary,Category,Sub-Category,Founded,Headquarters,Total Funding,Valuation,Key Investors,User Base / Customers,Revenue (ARR),Website
OpenAI,ChatGPT 개발사. GPT-4 등 최첨단 LLM 모델 개발,Foundation Models,LLM,2015,San Francisco US,$21.9B+,$500B,Microsoft SoftBank Thrive,300M+ users,$13B+,openai.com
Anthropic,Claude AI 개발. AI 안전성 중심 연구,Foundation Models,LLM,2021,San Francisco US,$13B+,$183B,Amazon Google Salesforce,Enterprise,-,anthropic.com
xAI,Grok AI 개발. Elon Musk 설립,Foundation Models,LLM,2023,Austin US,$12B,$50B,Sequoia a16z,X/Twitter users,-,x.ai
Mistral AI,유럽 최대 AI 스타트업. 오픈소스 LLM,Foundation Models,LLM,2023,Paris France,$640M,$6B,a16z Lightspeed,Developers,-,mistral.ai
Cohere,기업용 LLM API 제공. 커스텀 AI 모델,Foundation Models,LLM,2019,Toronto Canada,$1.5B,$5.5B,Nvidia Salesforce AMD,$150M ARR,$150M,cohere.com
AI21 Labs,Jamba 모델 개발. 이스라엘 AI 스타트업,Foundation Models,LLM,2017,Tel Aviv Israel,$336M,$1.4B,Intel Nvidia Google,Enterprise,-,ai21.com
Inflection AI,Pi AI 개발. 개인화 AI 어시스턴트,Foundation Models,LLM,2022,Palo Alto US,$1.5B,$4B,Microsoft Nvidia Reid Hoffman,Pi users,-,inflection.ai
Aleph Alpha,유럽 기업용 AI. 독일 AI 스타트업,Foundation Models,LLM,2019,Heidelberg Germany,$500M,$1B+,SAP Bosch,Enterprise,-,aleph-alpha.com
Character.AI,AI 캐릭터와 대화. 엔터테인먼트 AI,Foundation Models,Chatbot,2021,Palo Alto US,$150M,$1B,a16z,20M+ users,-,character.ai
Reka AI,멀티모달 AI 모델 개발,Foundation Models,Multimodal,2023,San Francisco US,$58M,-,DST Global Radical,Developers,-,reka.ai
Moonshot AI,중국 AI 스타트업. Kimi 챗봇 개발,Foundation Models,LLM,2023,Beijing China,$1B+,$3.3B,Sequoia China Alibaba,China users,-,moonshot.cn
Zhipu AI,중국 AI 기업. GLM 모델 개발,Foundation Models,LLM,2019,Beijing China,$400M+,$3B,Alibaba Tencent,China Enterprise,-,zhipuai.cn
Baichuan AI,중국 오픈소스 LLM 개발,Foundation Models,LLM,2023,Beijing China,$300M,$1.2B,Alibaba Xiaomi,China developers,-,baichuan-ai.com
Midjourney,AI 이미지 생성 선두주자. Discord 기반,AI Image/Video,Image Generation,2021,San Francisco US,Self-funded,-,Self-funded,16M+ users,$200M+,midjourney.com
Stability AI,Stable Diffusion 개발. 오픈소스 이미지 AI,AI Image/Video,Image Generation,2019,London UK,$200M,$1B,Coatue Lightspeed,Developers,-,stability.ai
Runway,AI 비디오 편집 및 생성. Gen-2 모델,AI Image/Video,Video Generation,2018,New York US,$250M,$1.5B,Google Nvidia Salesforce,Filmmakers,-,runwayml.com
Pika Labs,AI 비디오 생성. 스탠포드 출신 창업,AI Image/Video,Video Generation,2023,Palo Alto US,$135M,$470M,Spark Capital Lightspeed,500K+ users,-,pika.art
Luma AI,Dream Machine AI 비디오 생성,AI Image/Video,Video Generation,2021,Palo Alto US,$85M,$400M,a16z Matrix,Creators,-,lumalabs.ai
Ideogram,AI 이미지 생성. 텍스트 렌더링 특화,AI Image/Video,Image Generation,2022,Toronto Canada,$80M,$580M,a16z Index,Users,-,ideogram.ai
Leonardo.Ai,AI 이미지 생성. Canva에 인수됨,AI Image/Video,Image Generation,2022,Sydney Australia,$31M,-,Blackbird,8M+ users,-,leonardo.ai
Kling AI,중국 Kuaishou AI 비디오 생성,AI Image/Video,Video Generation,2024,Beijing China,-,-,Kuaishou,Creators,-,klingai.com
Higgsfield AI,AI 비디오 생성 플랫폼,AI Image/Video,Video Generation,2023,San Francisco US,$20M,-,Benchmark,541K IG followers,-,higgsfield.ai
ElevenLabs,AI 음성 합성 및 더빙. TTS 선두,AI Audio/Voice,Voice Synthesis,2022,New York US,$180M,$3.3B,a16z ICONIQ,1M+ users,$90M,elevenlabs.io
Descript,AI 오디오/비디오 편집. 텍스트 기반 편집,AI Audio/Voice,Audio Editing,2017,San Francisco US,$100M,$553M,OpenAI Spark,Podcasters,$55M,descript.com
Suno AI,AI 음악 생성. 텍스트로 노래 제작,AI Audio/Voice,Music Generation,2023,Cambridge US,$125M,$500M,Lightspeed Nat Friedman,10M+ users,-,suno.com
Udio,AI 음악 생성. 고품질 음악 제작,AI Audio/Voice,Music Generation,2023,New York US,$10M,-,a16z,Users,-,udio.com
AIVA,AI 작곡 플랫폼. 영화/게임 음악,AI Audio/Voice,Music Generation,2016,Luxembourg,-,-,-,Composers,-,aiva.ai
Resemble AI,AI 음성 클로닝 및 생성,AI Audio/Voice,Voice Cloning,2019,Toronto Canada,$28M,-,Radical Ventures,Enterprise,-,resemble.ai
Cursor,AI 코드 에디터. 가장 빠르게 성장,AI Code/Dev,Code Editor,2022,San Francisco US,$2.3B,$29.3B,Coatue Accel Nvidia,$1B+ ARR,$1B+,cursor.com
GitHub Copilot,Microsoft AI 코딩 어시스턴트,AI Code/Dev,Code Assistant,2021,San Francisco US,Microsoft,-,Microsoft,1.8M+ paid,-,github.com/copilot
Replit,AI 기반 클라우드 IDE,AI Code/Dev,IDE,2016,San Francisco US,$250M,$3B,a16z Coatue,30M+ users,-,replit.com
Cognition AI,Devin AI 소프트웨어 엔지니어,AI Code/Dev,AI Agent,2023,San Francisco US,$175M,$2B,Founders Fund,Developers,-,cognition.ai
Codeium,무료 AI 코드 자동완성,AI Code/Dev,Code Assistant,2022,Mountain View US,$150M,$1.25B,Greenoaks,500K+ users,-,codeium.com
Tabnine,AI 코드 완성. 기업용 보안 특화,AI Code/Dev,Code Assistant,2018,Tel Aviv Israel,$55M,-,Khosla Ventures,1M+ developers,-,tabnine.com
Sourcegraph,AI 코드 검색 및 분석,AI Code/Dev,Code Search,2013,San Francisco US,$225M,$2.6B,a16z Sequoia,Enterprise,-,sourcegraph.com
Codium,AI 테스트 코드 생성,AI Code/Dev,Code Testing,2022,Tel Aviv Israel,$40M,-,e.ventures,Developers,-,codium.ai
Lovable,AI 웹앱 빌더. 유럽 코딩 스타트업,AI Code/Dev,No-Code,2023,Stockholm Sweden,-,$6.6B,-,Developers,-,lovable.dev
Vercel,AI 기반 웹 개발 플랫폼,AI Code/Dev,Platform,2015,San Francisco US,$313M,$3.25B,a16z GV,Developers,-,vercel.com
Perplexity,AI 검색 엔진. 실시간 웹 검색,AI Search,Search Engine,2022,San Francisco US,$1.5B,$20B,Nvidia Bezos Sequoia,30M+ users,-,perplexity.ai
You.com,AI 검색 및 에이전트 인프라,AI Search,Search Engine,2020,San Francisco US,$99M,$1.5B,Salesforce Nvidia,$50M ARR,$50M,you.com
Exa,AI 에이전트용 검색 API,AI Search,Search API,2022,San Francisco US,$22M,$700M,Nvidia Lightspeed,Developers,-,exa.ai
Glean,기업용 AI 검색. 사내 정보 검색,AI Search,Enterprise Search,2019,Palo Alto US,$200M,$2.2B,Sequoia Kleiner,Enterprise,-,glean.com
LangChain,LLM 앱 개발 프레임워크. 유니콘,AI Infrastructure,Framework,2022,San Francisco US,$260M,$1.25B,Sequoia Benchmark,35% Fortune 500,$16M,langchain.com
Vellum.ai,기업용 AI 개발 플랫폼,AI Infrastructure,Dev Platform,2023,New York US,$25.5M,-,Y Combinator,Enterprise,-,vellum.ai
PromptLayer,비개발자용 프롬프트 관리,AI Infrastructure,Prompt Mgmt,2021,New York US,$4.8M,-,ScOp Venture,10K+ users,-,promptlayer.com
Weights & Biases,MLOps 플랫폼. CoreWeave 인수,AI Infrastructure,MLOps,2017,San Francisco US,$200M,$1.25B,NEA Insight,OpenAI Anthropic,-,wandb.ai
Hugging Face,AI 모델 허브 및 커뮤니티,AI Infrastructure,Model Hub,2016,New York US,$235M,$4.5B,Salesforce Nvidia,50K+ orgs,$130M,huggingface.co
Scale AI,AI 데이터 라벨링 및 인프라,AI Infrastructure,Data,2016,San Francisco US,$14.3B,$29B,Meta Thrive,Enterprise,-,scale.com
Labelbox,AI 데이터 라벨링 플랫폼,AI Infrastructure,Data Labeling,2018,San Francisco US,$188M,$1B,a16z Google,Enterprise,-,labelbox.com
Pinecone,벡터 데이터베이스. AI 검색 인프라,AI Infrastructure,Vector DB,2019,San Francisco US,$138M,$750M,a16z Menlo,10K+ companies,-,pinecone.io
Weaviate,오픈소스 벡터 데이터베이스,AI Infrastructure,Vector DB,2019,Amsterdam Netherlands,$67.7M,$200M,Index NEA,Developers,-,weaviate.io
Qdrant,오픈소스 벡터 검색 엔진,AI Infrastructure,Vector DB,2021,Berlin Germany,$28M,-,Unusual Ventures,Developers,-,qdrant.tech
Chroma,AI 애플리케이션용 임베딩 DB,AI Infrastructure,Vector DB,2022,San Francisco US,$18M,-,a16z,Developers,-,trychroma.com
Modal,서버리스 AI 인프라,AI Infrastructure,Compute,2021,San Francisco US,$27M,-,Redpoint,AI teams,-,modal.com
Anyscale,Ray 오픈소스 AI 인프라,AI Infrastructure,Compute,2019,San Francisco US,$259M,$1B,a16z NEA,OpenAI Uber,-,anyscale.com
Replicate,AI 모델 호스팅 및 배포,AI Infrastructure,Model Hosting,2019,San Francisco US,$40M,-,a16z Y Combinator,Developers,-,replicate.com
Together AI,오픈소스 AI 모델 인프라,AI Infrastructure,Compute,2022,San Francisco US,$106M,$1.25B,Nvidia Salesforce,Developers,-,together.ai
Fireworks AI,AI 모델 배포 및 추론,AI Infrastructure,Inference,2022,Redwood City US,$77M,$552M,a16z Sequoia,Developers,-,fireworks.ai
Baseten,AI 모델 배포 플랫폼,AI Infrastructure,Deployment,2019,San Francisco US,$60M,-,a16z Greylock,Developers,-,baseten.co
CoreWeave,AI 클라우드 컴퓨팅. GPU 인프라,AI Infrastructure,Cloud,2017,Roseland US,$15B+,$35B,Nvidia Magnetar,AI companies,-,coreweave.com
Lambda Labs,AI 클라우드 GPU 인프라,AI Infrastructure,Cloud,2012,San Francisco US,$320M,-,Gradient Ventures,Researchers,-,lambdalabs.com
Crusoe Energy,AI 데이터센터 전력 인프라,AI Infrastructure,Energy,2018,Denver US,$600M,-,Valor Equity,Data centers,-,crusoe.ai
Databricks,데이터 + AI 통합 플랫폼,AI Data/Analytics,Data Platform,2013,San Francisco US,$10B+,$138B,a16z Thrive,$4.8B,$4.8B,databricks.com
Snowflake,클라우드 데이터 웨어하우스,AI Data/Analytics,Data Warehouse,2012,Bozeman US,$1.4B,$75B (public),Sequoia Sutter Hill,$3.4B,$3.4B,snowflake.com
Fivetran,데이터 통합 및 ETL,AI Data/Analytics,Data Integration,2012,Oakland US,$565M,$5.6B,a16z General Catalyst,Enterprise,-,fivetran.com
dbt Labs,데이터 변환 플랫폼,AI Data/Analytics,Data Transform,2016,Philadelphia US,$414M,$4.2B,a16z Sequoia,Enterprise,-,getdbt.com
Monte Carlo,데이터 옵저버빌리티,AI Data/Analytics,Data Quality,2019,San Francisco US,$236M,$1.6B,Accel GGV,Enterprise,-,montecarlodata.com
Jasper,AI 마케팅 콘텐츠 생성,AI Enterprise,Marketing,2021,Austin US,$131M,$1.5B,Insight Coatue,$55M,$55M,jasper.ai
Writer,기업용 AI 글쓰기 플랫폼,AI Enterprise,Content,2020,San Francisco US,$126M,$750M,Insight ICONIQ,Enterprise,-,writer.com
Copy.ai,AI 카피라이팅 도구,AI Enterprise,Marketing,2020,Memphis US,$14M,-,Wing Craft,1M+ users,-,copy.ai
Notion AI,Notion 내장 AI 어시스턴트,AI Enterprise,Productivity,2013,San Francisco US,$343M,$10B,Sequoia Index,100M+ users,-,notion.so
Mem,AI 기반 노트 및 지식 관리,AI Enterprise,Productivity,2020,San Francisco US,$29M,-,a16z,Users,-,mem.ai
Intercom,AI 고객 서비스 플랫폼. Fin AI,AI Enterprise,Customer Service,2011,San Francisco US,$241M,$1.2B,Kleiner Index,25K+ customers,-,intercom.com
Zendesk,AI 고객 지원 솔루션,AI Enterprise,Customer Service,2007,San Francisco US,$86M,Private (Acquired),Redpoint Matrix,100K+ customers,$2.2B,zendesk.com
Sierra,AI 고객 서비스 챗봇,AI Enterprise,Customer Service,2023,San Francisco US,$175M,$4.5B,Sequoia Benchmark,Enterprise,-,sierra.ai
Ada,AI 고객 서비스 자동화,AI Enterprise,Customer Service,2016,Toronto Canada,$190M,$1.2B,Accel Spark,Enterprise,-,ada.cx
Salesforce Einstein,Salesforce AI 플랫폼,AI Enterprise,CRM,1999,San Francisco US,Public,$300B+ (public),Public,150K+ customers,-,salesforce.com/ai
Gong,AI 영업 인텔리전스,AI Enterprise,Sales,2015,San Francisco US,$584M,$7.25B,Sequoia Coatue,4K+ customers,-,gong.io
Clari,AI 매출 예측 플랫폼,AI Enterprise,Sales,2012,Sunnyvale US,$496M,$2.6B,Sequoia a16z,Enterprise,-,clari.com
People.ai,AI 영업 효율화,AI Enterprise,Sales,2016,San Francisco US,$200M,$1.1B,Lightspeed Thrive,Enterprise,-,people.ai
ZoomInfo,B2B 데이터 및 AI 인텔리전스,AI Enterprise,Sales Intelligence,2000,Vancouver US,Public,$17B (public),Public,35K+ customers,$1.3B,zoominfo.com
